,first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,threat,value_season,now_cost,total_points,position,value
0,Bernd,Leno,Arsenal,1,1.2,48,270,0.0,0.8,48,4,Goalkeeper,0.8
1,Rúnar Alex,Rúnarsson,Arsenal,1,0.9,40,0,0.0,0.0,40,0,Goalkeeper,0.0
2,Willian,Borges Da Silva,Arsenal,3,0.1,63,0,0.0,0.0,63,0,Midfielder,0.0
3,Pierre-Emerick,Aubameyang,Arsenal,4,2.2,99,428,253.0,2.2,99,22,Forward,2.2
4,Cédric,Soares,Arsenal,2,0.2,43,188,1.0,0.2,43,1,Defender,0.2
5,Alexandre,Lacazette,Arsenal,4,1.0,83,49,0.0,0.2,83,2,Forward,0.2
6,Granit,Xhaka,Arsenal,3,0.4,49,295,9.0,0.8,49,4,Midfielder,0.8
7,Pablo,Marí,Arsenal,2,0.1,43,180,11.0,0.2,43,1,Defender,0.2
8,Héctor,Bellerín,Arsenal,2,0.3,48,0,0.0,0.0,48,0,Defender,0.0
9,Calum,Chambers,Arsenal,2,0.2,43,170,12.0,0.2,43,1,Defender,0.2
10,Sead,Kolasinac,Arsenal,2,0.1,43,90,0.0,-0.2,43,-1,Defender,-0.2
11,Mohamed Naser,El Sayed Elneny,Arsenal,3,0.4,45,45,0.0,0.2,45,1,Midfielder,0.2
12,Ainsley,Maitland-Niles,Arsenal,3,0.1,53,119,8.0,1.3,53,7,Midfielder,1.3
13,Rob,Holding,Arsenal,2,0.7,43,180,6.0,0.0,43,0,Defender,0.0
14,Thomas,Partey,Arsenal,3,0.2,50,282,35.0,1.4,50,7,Midfielder,1.4
15,Kieran,Tierney,Arsenal,2,6.9,49,592,71.0,4.7,49,23,Defender,4.7
16,Nicolas,Pépé,Arsenal,3,1.1,71,387,195.0,2.0,71,14,Midfielder,2.0
17,Lucas,Torreira,Arsenal,3,0.2,45,0,0.0,0.0,45,0,Midfielder,0.0
18,Edward,Nketiah,Arsenal,4,0.1,54,0,0.0,0.0,54,0,Forward,0.0
19,Emile,Smith Rowe,Arsenal,3,5.6,54,535,142.0,4.6,54,25,Midfielder,4.6
20,Bukayo,Saka,Arsenal,3,11.3,63,491,210.0,4.6,63,29,Midfielder,4.6
21,Gabriel,Magalhães,Arsenal,2,0.7,50,360,18.0,4.6,50,23,Defender,4.6
22,Konstantinos,Mavropanos,Arsenal,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
23,Mattéo,Guendouzi,Arsenal,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
24,Gabriel Teodoro,Martinelli Silva,Arsenal,3,0.2,52,148,13.0,0.8,52,4,Midfielder,0.8
25,William,Saliba,Arsenal,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
26,Ben,White,Arsenal,2,12.4,44,450,4.0,5.0,44,22,Defender,5.0
27,Nuno,Varela Tavares,Arsenal,2,0.2,43,47,6.0,0.7,43,3,Defender,0.7
28,Albert,Sambi Lokonga,Arsenal,3,0.2,49,368,18.0,2.0,49,10,Midfielder,2.0
29,Folarin,Balogun,Arsenal,4,0.4,49,69,17.0,0.4,49,2,Forward,0.4
30,Reiss,Nelson,Arsenal,3,0.0,50,19,20.0,0.2,50,1,Midfielder,0.2
31,Karl,Hein,Arsenal,1,0.6,40,0,0.0,0.0,40,0,Goalkeeper,0.0
32,Martin,Ødegaard,Arsenal,3,2.8,55,402,25.0,3.6,55,20,Midfielder,3.6
33,Aaron,Ramsdale,Arsenal,1,4.6,46,360,0.0,5.2,46,24,Goalkeeper,5.2
34,Arthur,Okonkwo,Arsenal,1,0.1,40,0,0.0,0.0,40,0,Goalkeeper,0.0
35,Takehiro,Tomiyasu,Arsenal,2,2.9,46,331,31.0,4.3,46,20,Defender,4.3
36,Jed,Steer,Aston Villa,1,3.6,40,90,0.0,0.2,40,1,Goalkeeper,0.2
37,Conor,Hourihane,Aston Villa,3,0.0,49,0,0.0,0.0,49,0,Midfielder,0.0
38,Emiliano,Martínez,Aston Villa,1,14.3,55,540,0.0,5.5,55,30,Goalkeeper,5.5
39,Björn,Engels,Aston Villa,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
40,Bertrand,Traoré,Aston Villa,3,0.4,58,53,54.0,1.2,58,7,Midfielder,1.2
41,Morgan,Sanson,Aston Villa,3,0.0,50,0,0.0,0.0,50,0,Midfielder,0.0
42,John,McGinn,Aston Villa,3,0.7,58,489,50.0,2.8,58,16,Midfielder,2.8
43,Kortney,Hause,Aston Villa,2,0.3,44,171,41.0,3.9,44,17,Defender,3.9
44,Mahmoud Ahmed,Ibrahim Hassan,Aston Villa,3,0.0,54,0,0.0,0.0,54,0,Midfielder,0.0
45,Tyrone,Mings,Aston Villa,2,7.6,50,540,120.0,5.8,50,29,Defender,5.8
46,Matt,Targett,Aston Villa,2,2.8,48,465,31.0,3.3,48,16,Defender,3.3
47,Ollie,Watkins,Aston Villa,4,1.6,73,371,239.0,1.8,73,13,Forward,1.8
48,Marvelous,Nakamba,Aston Villa,3,0.2,45,177,0.0,1.1,45,5,Midfielder,1.1
